City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
New York,United States,42,41,13,34,43,43,38,39,24,2020,North America,40.7127281,-74.0060152
Detroit,United States,43,43,42,38,2,1,41,38,36,2020,North America,42.3315509,-83.0466403
Raleigh,United States,1,2,3,10,21,13,19,3,17,2019,North America,35.7803977,-78.6390989
Madison,United States,2,13,2,4,4,26,1,2,43,2019,North America,43.074761,-89.3837613
Columbus,United States,3,23,10,7,9,8,4,6,32,2019,North America,39.9622601,-83.0007065
Charlotte,United States,4,5,14,9,31,11,30,11,16,2019,North America,35.2272086,-80.8430827
San Diego,United States,5,12,7,17,26,36,28,18,2,2019,North America,32.7174202,-117.1627728
Austin,United States,6,8,5,22,20,31,22,22,19,2019,North America,30.2711286,-97.7436995
San Jose,United States,6,1,8,28,32,37,20,36,4,2019,North America,37.3361905,-121.890583
Dallas,United States,8,3,23,34,12,9,26,27,20,2019,North America,32.7762719,-96.7968559
Seattle,United States,9,10,13,14,39,39,38,10,7,2019,North America,47.6038321,-122.3300624
Portland,United States,10,30,15,23,28,34,17,9,10,2019,North America,45.5202471,-122.6741949
San Antonio,United States,11,14,16,26,2,6,10,25,23,2019,North America,29.4246002,-98.4951405
Kansas City,United States,12,15,35,8,17,3,3,15,26,2019,North America,39.100105,-94.5781416
Spokane,United States,13,33,24,42,8,24,2,1,34,2019,North America,47.6571934,-117.4235106
Jacksonville,United States,14,21,34,12,18,2,23,14,11,2019,North America,30.3321838,-81.655651
Sacramento,United States,15,22,20,21,34,30,6,31,8,2019,North America,38.5810606,-121.493895
Tampa,United States,16,29,18,32,23,24,27,12,15,2019,North America,27.9477595,-82.458444
Oakland,United States,17,17,38,1,40,38,15,16,3,2019,North America,37.8044557,-122.2713563
Minneapolis,United States,18,27,21,3,30,23,18,5,44,2019,North America,44.9772995,-93.2654692
Boston,United States,19,32,4,6,38,41,40,7,31,2019,North America,42.3602534,-71.0582912
Saint Louis,United States,20,11,41,5,11,10,8,20,27,2019,North America,38.6264256,-90.1995853
Salt Lake City,United States,21,7,1,24,3,29,21,42,36,2019,North America,40.7596198,-111.8867975
Cincinnati,United States,22,24,25,29,4,11,7,26,28,2019,North America,39.1014537,-84.5124602
Albuquerque,United States,23,31,42,16,7,21,5,4,35,2019,North America,35.0841034,-106.650985
Nashville,United States,24,16,19,41,14,22,25,28,18,2019,North America,36.1622767,-86.7742984
San Francisco,United States,25,18,22,19,41,43,42,19,1,2019,North America,37.7790262,-122.419906
Tucson,United States,26,36,26,43,16,15,14,8,29,2019,North America,32.2228765,-110.9748477
Orlando,United States,27,37,30,36,19,20,29,17,12,2019,North America,28.5421109,-81.3790304
Pittsburgh,United States,28,39,6,11,27,5,31,33,30,2019,North America,40.4416941,-79.9900861
Houston,United States,29,4,36,15,6,4,35,39,14,2019,North America,29.7589382,-95.3676974
Atlanta,United States,30,6,37,37,25,18,41,35,9,2019,North America,33.7489924,-84.3902644
Denver,United States,31,25,9,20,24,32,24,30,41,2019,North America,39.7392364,-104.9848623
Baltimore,United States,32,28,43,2,29,14,16,34,22,2019,North America,39.2908816,-76.610759
Indianapolis,United States,33,35,29,27,13,7,13,32,33,2019,North America,39.7683331,-86.1583502
Washington,United States,34,26,32,18,42,33,33,24,21,2019,North America,38.8950368,-77.0365427
Honolulu,United States,35,41,11,25,43,42,36,21,6,2019,North America,21.2890997,-157.717299
Chicago,United States,36,20,39,30,33,28,32,29,37,2019,North America,41.8755616,-87.6244212
Phoenix,United States,37,9,28,31,10,17,12,44,42,2019,North America,33.4484367,-112.074141
Milwaukee,United States,38,40,40,33,22,19,11,13,39,2019,North America,43.0349931,-87.922497
Las Vegas,United States,39,19,31,44,15,16,9,38,40,2019,North America,36.1672559,-115.148516
Philadelphia,United States,40,34,33,13,36,27,34,37,25,2019,North America,39.9527237,-75.1635262
Miami,United States,41,44,27,38,37,35,39,23,13,2019,North America,25.7741728,-80.19362
Los Angeles,United States,42,38,17,35,35,40,43,43,5,2019,North America,34.0536909,-118.242766
New York,United States,43,43,12,40,44,44,37,41,24,2019,North America,40.7127281,-74.0060152
Detroit,United States,44,42,44,39,1,1,44,40,38,2019,North America,42.3315509,-83.0466403
Raleigh,United States,1,15,2,3,12,15,8,2,13,2018,North America,35.7803977,-78.6390989
San Diego,United States,2,8,4,7,17,24,19,9,2,2018,North America,32.7174202,-117.1627728
San Antonio,United States,3,2,14,8,1,2,3,17,17,2018,North America,29.4246002,-98.4951405
Austin,United States,4,9,5,5,13,20,18,10,18,2018,North America,30.2711286,-97.7436995
Columbus,United States,5,21,11,17,7,7,2,6,24,2018,North America,39.9622601,-83.0007065
Dallas,United States,6,1,12,21,4,8,16,20,16,2018,North America,32.7762719,-96.7968559
Portland,United States,7,20,9,23,19,23,7,7,9,2018,North America,45.5202471,-122.6741949
Seattle,United States,8,7,8,13,28,22,26,8,6,2018,North America,47.6038321,-122.3300624
Sacramento,United States,9,13,15,6,20,18,1,21,7,2018,North America,38.5810606,-121.493895
Minneapolis,United States,10,17,18,2,22,14,9,1,32,2018,North America,44.9772995,-93.2654692
Tucson,United States,11,11,20,30,2,6,11,4,22,2018,North America,32.2228765,-110.9748477
Cincinnati,United States,12,12,16,12,7,3,11,11,21,2018,North America,39.1014537,-84.5124602
Salt Lake City,United States,13,5,1,18,5,17,13,30,28,2018,North America,40.7596198,-111.8867975
Albuquerque,United States,14,22,30,20,3,12,4,3,27,2018,North America,35.0841034,-106.650985
San Jose,United States,15,14,13,14,24,27,10,26,5,2018,North America,37.3361905,-121.890583
Orlando,United States,16,19,23,29,16,11,17,12,10,2018,North America,28.5421109,-81.3790304
Denver,United States,17,18,6,16,18,21,15,19,30,2018,North America,39.7392364,-104.9848623
Boston,United States,18,29,3,4,27,30,28,5,23,2018,North America,42.3602534,-71.0582912
Atlanta,United States,19,3,28,25,14,10,29,24,8,2018,North America,33.7489924,-84.3902644
Houston,United States,20,6,27,10,10,5,22,29,11,2018,North America,29.7589382,-95.3676974
Las Vegas,United States,21,4,22,31,11,4,6,25,29,2018,North America,36.1672559,-115.148516
Washington,United States,22,23,25,14,29,25,24,14,15,2018,North America,38.8950368,-77.0365427
Baltimore,United States,23,25,31,1,15,9,14,22,14,2018,North America,39.2908816,-76.610759
Honolulu,United States,24,28,7,22,30,29,20,18,4,2018,North America,21.2890997,-157.717299
San Francisco,United States,25,32,19,9,31,31,21,13,1,2018,North America,37.7790262,-122.419906
Phoenix,United States,26,10,24,19,6,13,5,32,31,2018,North America,33.4484367,-112.074141
Philadelphia,United States,27,26,26,11,25,16,30,23,20,2018,North America,39.9527237,-75.1635262
Chicago,United States,28,24,29,24,21,19,27,15,25,2018,North America,41.8755616,-87.6244212
Miami,United States,29,31,21,27,26,26,23,16,12,2018,North America,25.7741728,-80.19362
Detroit,United States,30,16,32,32,9,1,31,27,26,2018,North America,42.3315509,-83.0466403
Los Angeles,United States,31,27,17,26,23,28,31,31,3,2018,North America,34.0536909,-118.242766
New York,United States,32,30,10,28,32,32,25,28,19,2018,North America,40.7127281,-74.0060152
